"","param.code","CA","dataset","stations","yearsTotal","yearsDry","yearsWet","FirstYear","LastYear","ndays","nsamples","firstSample","lastSample","period_mean","value_mean","value_sd"
"92","PPUT","Kettle Creek Conservation Authority","2000",4,13,2,4,2004,2016,328,351,130,320.384615384615,34.0625642033543,7.52068051118211,29.9873548124739
"93","PPUT","Long Point Region Conservation Authority","1964",43,32,2,0,1964,1995,4305,4333,28.03125,337.625,31.1242976805731,2.76755282418892,165.024211105959
"94","PPUT","Long Point Region Conservation Authority","2000",18,17,4,4,2000,2016,1152,1224,97.1764705882353,324.294117647059,32.7001122747079,1.62412501540357,7.11352361294426
"95","PPUT","Lower Thames Valey Conservation Authority","1964",38,36,3,1,1964,1999,5394,5628,21.8333333333333,348.138888888889,31.5031459402675,10.8866351224015,245.687947290383
"96","PPUT","Lower Thames Valey Conservation Authority","2000",12,17,4,4,2000,2016,722,830,127.764705882353,310.705882352941,33.1131696582523,7.17062480376766,22.7600589484612
"97","PPUT","St. Clair Region Conservation Authority","1964",22,36,3,1,1964,1999,3921,3961,19.1666666666667,343.333333333333,30.6495336829038,3.48045665878221,64.7545676791854
"98","PPUT","St. Clair Region Conservation Authority","2000",10,17,4,4,2000,2016,951,1015,97.8823529411765,324.235294117647,30.0621140964031,3.33064195402299,14.0240110514866
"99","PPUT","Upper Thames River Conservation Authority","1964",48,34,3,1,1965,1999,7457,7644,22.8529411764706,332.441176470588,30.7233070376918,6.79591253702046,165.417716587695
"100","PPUT","Upper Thames River Conservation Authority","2000",34,17,4,4,2000,2016,2132,2262,78.4117647058823,314.294117647059,42.9935568101905,2.50462821734986,12.6098057197635
"101","RSF","Catfish Creek Conserservation Authority","1964",7,32,2,0,1964,1995,453,453,36.75,333.875,35.1357877178649,389.447798742138,62.1005579714886
"102","RSF","Essex Region Conservation Authority","1964",22,32,2,1,1964,1996,1729,1731,26.0625,329,29.8898483980544,581.495227272727,604.581981576729
"103","RSF","Essex Region Conservation Authority","2000",8,6,2,0,2001,2006,266,266,131.666666666667,309,33.8235579329329,835.484962406015,706.378466198444
"104","RSF","Grand River Conservation Authority","1964",86,36,3,1,1964,1999,13203,13217,20.1666666666667,349,31.278754724886,418.804312648047,288.564302373367
"105","RSF","Grand River Conservation Authority","2000",45,17,4,4,2000,2016,3610,3616,55.5882352941176,328.294117647059,34.3267329678687,416.337130801688,210.736408338804
"106","RSF","Kettle Creek Conservation Authority","1964",16,32,2,0,1964,1995,861,863,34.375,332.96875,34.5643424155577,396.504966329966,190.944937474756
"107","RSF","Long Point Region Conservation Authority","1964",37,29,1,0,1964,1995,3515,3516,35.2413793103448,326.551724137931,31.5613322747722,370.45997486174,141.346306153751
"108","RSF","Long Point Region Conservation Authority","2000",13,2,1,0,2001,2002,103,103,43,283.5,16.5895961934156,342.789743589744,72.088676189755
"109","RSF","Lower Thames Valey Conservation Authority","1964",36,33,2,1,1964,1996,2029,2034,35.3333333333333,332.848484848485,31.3273010141364,433.987004883342,158.315095843088
"110","RSF","Lower Thames Valey Conservation Authority","2000",8,6,3,0,2002,2007,91,91,203.833333333333,238,33.6431534900285,468.413333333333,118.483473968329
"111","RSF","St. Clair Region Conservation Authority","1964",20,33,2,1,1964,1996,2362,2368,23.4545454545455,327.575757575758,31.8085290235014,508.168776723878,630.413170650438
"112","RSF","St. Clair Region Conservation Authority","2000",9,5,2,0,2002,2006,299,299,115,333,32.7068666666667,398.551546391753,81.8219308516371
"113","RSF","Upper Thames River Conservation Authority","1964",44,26,3,0,1964,1999,2740,2742,53.2307692307692,320.192307692308,31.6602151265982,420.349301054772,119.532612652265
"114","RSF","Upper Thames River Conservation Authority","2000",33,7,2,0,2000,2006,876,876,69.8571428571429,322.285714285714,41.9907548476454,448.965357967667,168.578493957954
"115","RSP","Catfish Creek Conserservation Authority","1964",7,32,2,0,1964,1995,738,738,34.03125,333.875,35.6766032445047,61.7051098376313,149.592235436047
"116","RSP","Catfish Creek Conserservation Authority","2000",4,4,1,0,2003,2006,76,76,162.5,291.75,37.9750178062678,30.8463541666667,30.07586519575
"117","RSP","Essex Region Conservation Authority","1964",24,33,2,1,1964,1996,3461,3551,23.6363636363636,335.757575757576,30.8260373110796,63.5523872310587,141.681266265436
"118","RSP","Essex Region Conservation Authority","2000",8,16,4,4,2001,2016,758,759,120.125,296.5625,33.3373145900755,37.317115902965,50.9017226419605
"119","RSP","Grand River Conservation Authority","1964",113,36,3,1,1964,1999,21555,23018,14.5833333333333,354.416666666667,29.0407734048158,191.28864016751,1318.14988103693
"120","RSP","Grand River Conservation Authority","2000",46,17,4,4,2000,2016,4451,4465,20.4705882352941,348.705882352941,34.5165318421989,22.2915164763987,48.809452318041
"121","RSP","Kettle Creek Conservation Authority","1964",16,32,2,0,1964,1995,1561,1563,31.1875,333.28125,36.9053818997224,54.4295982848116,126.733803747658
"122","RSP","Kettle Creek Conservation Authority","2000",4,13,2,4,2004,2016,324,324,125.692307692308,320.384615384615,37.3672440551347,35.2033227848101,38.0076013287516
"123","RSP","Long Point Region Conservation Authority","1964",43,32,2,0,1964,1995,4235,4246,27.96875,337.46875,31.3445604955901,215.105622173382,1447.82666143949
"124","RSP","Long Point Region Conservation Authority","2000",18,17,4,4,2000,2016,1117,1117,97.7058823529412,324.294117647059,35.306775812125,26.9514020912548,71.4422275080665
"125","RSP","Lower Thames Valey Conservation Authority","1964",37,36,3,1,1964,1999,5195,5438,22.0833333333333,347.305555555556,31.6869570522823,78.5537328436173,431.675301001397
"126","RSP","Lower Thames Valey Conservation Authority","2000",12,17,4,4,2000,2016,714,716,129.882352941176,312.764705882353,38.6081014049764,52.4816823899371,82.4164053024298
"127","RSP","St. Clair Region Conservation Authority","1964",22,36,3,1,1964,1999,3504,3541,19.0555555555556,343,30.6923864311078,60.7425187548607,156.604118808831
"128","RSP","St. Clair Region Conservation Authority","2000",10,17,4,4,2000,2016,938,938,99.9411764705882,324.235294117647,31.4411020205428,43.2382468553459,64.5534515052351
"129","RSP","Upper Thames River Conservation Authority","1964",48,34,3,1,1964,1999,6971,7156,33.2352941176471,328.911764705882,30.8276516527987,19.9890421410024,40.0801364473831
"130","RSP","Upper Thames River Conservation Authority","2000",34,17,4,4,2000,2016,2060,2061,78.4117647058823,314.294117647059,47.1741360654629,18.5273445212241,34.9316241108115
"131","RST","Catfish Creek Conserservation Authority","1964",7,20,1,0,1964,1994,360,360,43.35,326.85,32.5876579759584,464.435270132518,196.745397674562
"132","RST","Essex Region Conservation Authority","1964",22,20,1,0,1964,1994,1688,1689,30.55,327.75,29.4628402207286,573.616845397676,428.628384398633
"133","RST","Essex Region Conservation Authority","2000",8,6,2,0,2001,2006,266,266,131.666666666667,309,33.8235579329329,872.913533834586,700.942424926204
"134","RST","Grand River Conservation Authority","1964",85,31,2,1,1964,1999,8495,8519,46.1935483870968,304.903225806452,30.5290955661689,461.391949774935,388.475479927002
"135","RST","Grand River Conservation Authority","2000",45,17,4,4,2000,2016,3609,3616,55.5882352941176,328.294117647059,34.3286250840769,436.79818467275,211.29147192943
"136","RST","Kettle Creek Conservation Authority","1964",16,20,1,0,1964,1994,756,757,40.7,322.8,33.2217270983546,444.706051873199,219.711344918684
"137","RST","Long Point Region Conservation Authority","1964",37,27,1,0,1964,1995,2478,2479,58.8148148148148,310.222222222222,31.4324510831586,428.486086829837,256.317374463045
"138","RST","Long Point Region Conservation Authority","2000",13,3,1,0,2001,2006,101,101,73.6666666666667,234,17.4654642489712,406.564150943396,80.8960948126829
"139","RST","Lower Thames Valey Conservation Authority","1964",35,22,2,1,1964,1996,1958,1964,40.3181818181818,313.909090909091,30.9135376679463,504.769679849341,207.213701796317
"140","RST","Lower Thames Valey Conservation Authority","2000",8,6,3,0,2002,2007,91,91,203.833333333333,238,33.6431534900285,528.64,112.922736082351
"141","RST","St. Clair Region Conservation Authority","1964",20,24,1,0,1964,1994,1657,1657,52.5416666666667,296.708333333333,29.9959992312678,514.206964520368,563.143503992755
"142","RST","St. Clair Region Conservation Authority","2000",9,5,2,0,2002,2006,299,299,115,333,32.7068666666667,439.92439862543,95.2401743827018
"143","RST","Upper Thames River Conservation Authority","1964",45,27,3,0,1964,1999,3099,3101,40.4074074074074,322.740740740741,31.2342656176964,439.48596196868,119.81492657393
"144","RST","Upper Thames River Conservation Authority","2000",33,7,2,0,2000,2006,875,875,69.8571428571429,322.285714285714,41.8742997765449,470.714450867052,174.84248026254
